,DateTime,ID,Length,Width,Height,Equipment_ID,FSALDU,Service,Barcode_Type,FSA,Destination,FeedDate,FeedTime,Maxlength,Hour,Volume,Size,Shift,Fine_Dest
103,2022/08/04 7:55,5092NGN457400412600022311000000,575,360,144,1260,N4G5N7,2,NGB,N4G,London Fwd,2022/08/04,7:55:49,22.63779528,7,1819,2,2,London Fwd
104,2022/08/04 7:55,5092MEA506983384989150233900100,410,300,98,1260,M5E0A6,2,NGB,M5E,WPDH,2022/08/04,7:55:56,16.14173228,7,736,2,2,WPDH
105,2022/08/04 7:55,SYN126020220804003707,220,215,212,1260,,,SYN,,,2022/08/04,7:55:59,8.661417323,7,612,1,2,
106,2022/08/04 7:56,SYN126020220804003708,660,520,160,1260,,,SYN,,,2022/08/04,7:56:02,25.98425197,7,3351,3,2,
107,2022/08/04 7:56,5092MNS325703324567442136300000,455,335,134,1260,M3N2S5,2,NGB,M3N,WPDH,2022/08/04,7:56:04,17.91338583,7,1246,2,2,WPDH
108,2022/08/04 7:56,SYN126020220804003709,215,215,220,1260,,,SYN,,,2022/08/04,7:56:06,8.661417323,7,621,1,2,
109,2022/08/04 7:56,5092SWT404827418493983040800000,220,220,216,1260,S4W0T4,2,NGB,S4W,Regina,2022/08/04,7:56:19,8.661417323,7,638,1,2,Regina EP/RG
110,2022/08/04 7:56,SYN126020220804003710,225,215,214,1260,,,SYN,,,2022/08/04,7:56:22,8.858267717,7,632,1,2,
111,2022/08/04 7:56,5092LYE441827418495713340600000,220,215,218,1260,L4Y4E1,2,NGB,L4Y,WPDH,2022/08/04,7:56:26,8.661417323,7,629,1,2,WPDH
112,2022/08/04 7:56,5092MVG841006805586549203700000,400,295,78,1260,M8V4G1,2,NGB,M8V,WPDH,2022/08/04,7:56:30,15.7480315,7,562,2,2,WPDH
113,2022/08/04 7:56,5092LBC813958603885534833400000,365,330,138,1260,L8B1C3,2,NGB,L8B,Hamilton City,2022/08/04,7:56:32,14.37007874,7,1014,2,2,Hamilton City
114,2022/08/04 7:56,5092KHP295910069188993733800100,490,335,120,1260,K2H9P5,2,NGB,K2H,Ottawa,2022/08/04,7:56:35,19.29133858,7,1202,2,2,Ottawa
115,2022/08/04 7:56,SYN126020220804003711,305,220,26,1260,,,SYN,,,2022/08/04,7:56:37,12.00787402,7,106,2,2,
116,2022/08/04 7:56,413GD007714219CA,365,265,100,1260,,G,292,,,2022/08/04,7:56:40,14.37007874,7,590,2,2,
117,2022/08/04 7:56,510CHRA044201199069062651502100,405,395,166,1260,H0R4A4,C,NGB,H0R,Montreal City,2022/08/04,7:56:42,15.94488189,7,1621,2,2,Montreal City
118,2022/08/04 7:56,SYN126020220804003712,480,425,56,1260,,,SYN,,,2022/08/04,7:56:47,18.8976378,7,697,2,2,
119,2022/08/04 7:56,5092NAW542400412600022317200000,605,425,92,1260,N5A4W2,2,NGB,N5A,London City and Windsor,2022/08/04,7:56:56,23.81889764,7,1444,2,2,London City and Windsor
120,2022/08/04 7:56,510CMRB055400685981913542502100,275,190,184,1260,M0R5B5,C,NGB,M0R,Bulk Returns,2022/08/04,7:56:58,10.82677165,7,587,1,2,Bulk Returns
121,2022/08/04 7:56,5092NAC938102303886580890300000,290,240,172,1260,N9A3C8,2,NGB,N9A,London City and Windsor,2022/08/04,7:56:59,11.41732283,7,731,1,2,London City and Windsor
122,2022/08/04 7:57,SYN126020220804003713,330,175,80,1260,,,SYN,,,2022/08/04,7:57:01,12.99212598,7,282,2,2,
123,2022/08/04 7:57,5092MVV528926403389003033700000,545,460,122,1260,M5V2V8,2,NGB,M5V,WPDH,2022/08/04,7:57:10,21.45669291,7,1866,2,2,WPDH
124,2022/08/04 7:57,5092VCA705102616794299248200000,395,330,110,1260,V7C0A5,2,NGB,V7C,Vancouver,2022/08/04,7:57:14,15.5511811,7,875,2,2,Vancouver EP/RG
125,2022/08/04 7:57,5092MHE118397082501774158300000,0,0,0,1260,M1H1E8,2,NGB,M1H,YDC,2022/08/04,7:57:15,0,7,0,,2,YDC
126,2022/08/04 7:57,5092NHJ606926403388996433900000,570,470,52,1260,N6H0J6,2,NGB,N6H,London City and Windsor,2022/08/04,7:57:19,22.44094488,7,850,2,2,London City and Windsor
127,2022/08/04 7:57,5092MKE622926403389003233100000,545,460,36,1260,M6K2E2,2,NGB,M6K,YDC,2022/08/04,7:57:24,21.45669291,7,551,2,2,YDC
128,2022/08/04 7:57,413GD316702490CA,395,275,126,1260,,G,292,,,2022/08/04,7:57:28,15.5511811,7,835,2,2,
129,2022/08/04 7:57,5092TXY557397082501775696900000,370,155,44,1260,T5X5Y7,2,NGB,T5X,Edm,2022/08/04,7:57:29,14.56692913,7,154,2,2,Edmonton EP/RG
130,2022/08/04 7:57,SYN126020220804003714,740,560,114,1260,,,SYN,,,2022/08/04,7:57:34,29.13385827,7,2883,3,2,
131,2022/08/04 7:57,510CMRB055400685905247342102100,380,340,140,1260,M0R5B5,C,NGB,M0R,Bulk Returns,2022/08/04,7:57:38,14.96062992,7,1104,2,2,Bulk Returns
132,2022/08/04 7:57,5092VGB809397082501782978600000,0,0,0,1260,V8G0B9,2,NGB,V8G,Vancouver,2022/08/04,7:57:39,0,7,0,,2,Vancouver EP/RG
133,2022/08/04 7:57,5092NVY221400631886909702700000,500,455,264,1260,N2V2Y1,2,NGB,N2V,Kitchener City,2022/08/04,7:57:42,19.68503937,7,3665,2,2,Kitchener City
134,2022/08/04 7:57,5091LJE813397082501781786800000,355,140,30,1260,L8J1E3,1,NGB,L8J,Hamilton City,2022/08/04,7:57:44,13.97637795,7,91,2,2,Hamilton City
135,2022/08/04 7:57,510CMRT080700542086942196102100,1575,390,90,1260,M0R8T0,C,NGB,M0R,Bulk Returns,2022/08/04,7:57:59,62.00787402,7,3374,4,2,Bulk Returns
136,2022/08/04 7:58,5092JCS010102463216610149800000,475,460,56,1260,J0C1S0,2,NGB,J0C,Montreal Fwd,2022/08/04,7:58:01,18.7007874,7,747,2,2,Montreal Fwd
137,2022/08/04 7:58,5092MMS423926403388886233900000,350,330,114,1260,M4M2S3,2,NGB,M4M,YDC,2022/08/04,7:58:03,13.77952756,7,803,2,2,YDC
138,2022/08/04 7:58,SYN126020220804003715,385,310,118,1260,,,SYN,,,2022/08/04,7:58:06,15.15748031,7,859,2,2,
139,2022/08/04 7:58,SYN126020220804003716,0,0,0,1260,,,SYN,,,2022/08/04,7:58:10,0,7,0,,2,
140,2022/08/04 7:58,5092LSP836401056580451342200000,355,325,126,1260,L8S3P6,2,NGB,L8S,Hamilton City,2022/08/04,7:58:12,13.97637795,7,887,2,2,Hamilton City
141,2022/08/04 7:58,5092LTE731401056580838942900000,400,320,66,1260,L7T3E1,2,NGB,L7T,Burlington,2022/08/04,7:58:15,15.7480315,7,516,2,2,Burlington
142,2022/08/04 7:58,SYN126020220804003717,405,320,34,1260,,,SYN,,,2022/08/04,7:58:17,15.94488189,7,269,2,2,
143,2022/08/04 7:58,5092MJK339400412600022299100000,665,400,60,1260,M3J3K9,2,NGB,M3J,WPDH,2022/08/04,7:58:20,26.18110236,7,974,3,2,WPDH
144,2022/08/04 7:58,5092KCX121401056580910842500000,395,320,86,1260,K1C2X1,2,NGB,K1C,Ottawa,2022/08/04,7:58:23,15.5511811,7,663,2,2,Ottawa
145,2022/08/04 7:58,5092LPB119401056580747342600000,475,370,52,1260,L1P1B9,2,NGB,L1P,YDC,2022/08/04,7:58:26,18.7007874,7,558,2,2,YDC
146,2022/08/04 7:58,5092MCR417102082802217403200000,410,360,34,1260,M4C1R7,2,NGB,M4C,YDC,2022/08/04,7:58:27,16.14173228,7,306,2,2,YDC
147,2022/08/04 7:58,510CMRB055400685962080399502100,325,260,144,1260,M0R5B5,C,NGB,M0R,Bulk Returns,2022/08/04,7:58:29,12.79527559,7,743,2,2,Bulk Returns
148,2022/08/04 7:58,SYN126020220804003718,0,0,0,1260,,,SYN,,,2022/08/04,7:58:31,0,7,0,,2,
149,2022/08/04 7:58,SYN126020220804003719,285,210,150,1260,,,SYN,,,2022/08/04,7:58:33,11.22047244,7,548,1,2,
150,2022/08/04 7:58,5092RXA206397082501775207700000,0,0,0,1260,R2X0A6,2,NGB,R2X,Wpg,2022/08/04,7:58:40,0,7,0,,2,Winnipeg EP/RG
151,2022/08/04 7:58,510CMRX090200002084156358202100,300,245,134,1260,M0R9X0,C,NGB,M0R,Bulk Returns,2022/08/04,7:58:42,11.81102362,7,601,1,2,Bulk Returns
152,2022/08/04 7:58,5091LJE813397082501781731800000,370,155,50,1260,L8J1E3,1,NGB,L8J,Hamilton City,2022/08/04,7:58:48,14.56692913,7,175,2,2,Hamilton City
153,2022/08/04 7:58,SYN126020220804003720,265,225,168,1260,,,SYN,,,2022/08/04,7:58:50,10.43307087,7,611,1,2,
154,2022/08/04 7:58,SYN126020220804003721,320,240,218,1260,,,SYN,,,2022/08/04,7:58:55,12.5984252,7,1022,2,2,
155,2022/08/04 7:58,SYN126020220804003722,0,0,0,1260,,,SYN,,,2022/08/04,7:58:57,0,7,0,,2,
156,2022/08/04 7:58,SYN126020220804003723,0,0,0,1260,,,SYN,,,2022/08/04,7:58:58,0,7,0,,2,
157,2022/08/04 7:58,5092KJJ010102089934414049400000,265,190,196,1260,K0J1J0,2,NGB,K0J,Ottawa,2022/08/04,7:58:59,10.43307087,7,602,1,2,Ottawa
158,2022/08/04 7:59,SYN126020220804003724,0,0,0,1260,,,SYN,,,2022/08/04,7:59:00,0,7,0,,2,
159,2022/08/04 7:59,SYN126020220804003725,310,155,40,1260,,,SYN,,,2022/08/04,7:59:03,12.20472441,7,117,2,2,
160,2022/08/04 7:59,SYN126020220804003726,320,280,214,1260,,,SYN,,,2022/08/04,7:59:05,12.5984252,7,1170,2,2,
161,2022/08/04 7:59,SYN126020220804003727,355,185,136,1260,,,SYN,,,2022/08/04,7:59:08,13.97637795,7,545,2,2,
162,2022/08/04 7:59,SYN126020220804003728,395,270,122,1260,,,SYN,,,2022/08/04,7:59:10,15.5511811,7,794,2,2,
